manufacturer_id,manufacturer_name,manufacturer_recall_count
355,"GE Oec Medical Systems Inc || GE Medical Systems Gmbh || GE Hualun Medical Systems Co., Ltd || GE  Healthcare  Do  Brasil  Comércio  E  Servicos  Para || Equipamentos Medico-Hospitalares Ltda",1.0
356,Ohmeda Medical,1.0
357,Wipro GE Healthcare Pvt. Ltd || GE Medical Systems Technologies Co Ltd,1.0
358,Wipro Ge Healthcare Pvt. Ltd || Ohmeda Medical,1.0
359,Wipro GE Healthcare Pvt. Ltd || Ohmeda Medical || GE Klinik Sistemier Tic A.S,1.0
360,"Xpro Sistemas Ltda || Ge Medical Systems Scs (Gems Scs) || Ge Hualun Medical Systems Co., Ltd",1.0
361,"Xpro Sistemas Ltda || GE Medical Systems Scs (Gems Scs) || GE Hualun Medical Systems Co., Ltd",1.0
362,"GE Medical Systems Scs (Gems Scs) || GE Hualun Medical Systems Co., Ltd || XPRO Sistemas Ltda",1.0
363,Atrium Medical Corporation,2.0
364,Datascope Corp,4.0
365,Getinge Infection Control Ab || Getinge Sourcing Llc || Getinge Sterilization Ab || Getinge Infection Control Production Poland Sp. Z O. O. || Getinge Disinfection Ab,1.0
366,Getinge Infection Control Ab || Getinge Sterilization Ab || Getinge Sourcing Llc || Trans Medikal Aletler Sanayi Ve Ticaret A.S. || Getinge Infection Control Production Poland Sp. Zo. O. || Getinge Disinfection Ab,1.0
367,Getinge Sterilization Ab || Getinge Disinfection Ab || Getinge Sourcing Llc,1.0
368,"Maquet (Suzhou) Co., Ltd. || Maquet Gmbh & Co. Kg || Maquet Sas",1.0
369,Maquet Cardiopulmonary A. G.,1.0
370,Maquet Cardiopulmonary A. G. || Maquet Cardipulmonary- Medikal T,1.0
371,Maquet Critical Care AB,2.0
372,Maquet Critical Care Ab,3.0
373,"Maquet Gmbh & Co. Kg || Maquet Sas || Maquet (Suzhou) Co., Ltd",1.0
374,Maquet SAS,1.0
375,"Maquet Sas || Maquet Gmbh || Maquet (Suzhou) Co., Ltd. ",1.0
376,Pulsion Medical Systems SE,1.0
377,"GI Dynamics, Inc",1.0
378,DIASYS DIAGNOSTIC SYSTEMS GMBH || Imported by: ANALISIS TECNICOS,1.0
379,DIASYS DIAGNOSTIC SYSTEMS GMBH CON DOMICILIO EN || ALEMANIA || Importer: ANALISIS TECNICOS LTDA,1.0
380,Diasys Diagnostics GMBH,1.0
381,DIASYS DIAGNOSTICS SYSTEMS || Importer: ANALISIS TECNICOS LTDA,1.0
382,Diasys Diagnostics Systems Gmbh,1.0
383,Diasys Diagnostics Systems GMBH.,1.0
384,DISGNOSTIC GRIFOLS S.A. || Importer: LABORATORIOS DAI DE COLOMBIA S.A.,1.0
385,"IMMUCOR TRANSPLANT DIAGNOSTICS, INC || Importer: BIOSCIENCES S.A.S",1.0
386,"IMMUCOR TRANSPLANT DIAGNOSTICS, INC || Imported by:BIOSCIENCES SAS || SERVICIOS MEDICOS YUNIS TURBAY Y CIA. S. EN C",1.0
387,"INMUCOR TRASPLANTS DIAGNOSTICS, INC || Imported by:  SERVICIOS  MEDICOS  YUNIS  TURBAY || Y CIA. S.A.S",1.0
388,Hamilton Medical AG,3.0
